06201,"99023","9902379","ヤマガタケン","ヤマガタシ","カエショ","山形県","山形市","替所"
26102,"602  ","6028103","キョウトフ","キョウトシカミギョウク","イッチョウメ（マツヤマチドオリデミズサガル、マツヤマチドオリシモダチウリアガル）","京都府","京都市上京区","一町目（松屋町通出水下る、松屋町通下立売上る）"
26102,"602  ","6028135","キョウトフ","キョウトシカミギョウク","サンチョウメ（マツヤマチドオリサワラギチョウサガル、マツヤマチドオリマルタマチアガル）","京都府","京都市上京区","三町目（松屋町通椹木町下る、松屋町通丸太町上る）"
