GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sukkiri-test,main.java.chapter11.section2,Account,24,12,0,0,8,5,4,2,4,2
sukkiri-test,main.java.chapter12,Account,21,15,0,0,7,6,3,3,3,3
sukkiri-test,main.java.chapter11.section6,Bank,0,19,0,2,0,6,0,4,0,3
sukkiri-test,main.java.chapter11.section4,Account,53,0,6,0,15,0,10,0,7,0
sukkiri-test,main.java.chapter11.section4,AssertionMain,24,0,4,0,5,0,5,0,3,0
